Best Validation Dice: 0.8036767578125
Best Validation Loss: 0.698591947555542
Total Epochs: 4103

Epoch, Train Loss, Validation Loss, Train Dice, Validation Dice
121, 1.436728, 1.314857, 0.502422, 0.575649
122, 1.431057, 1.324582, 0.506264, 0.567742
123, 1.434437, 1.351767, 0.505937, 0.568308
124, 1.422694, 1.320984, 0.509067, 0.567917
125, 1.419066, 1.402680, 0.515812, 0.556144
126, 1.425384, 1.430778, 0.504401, 0.534424
127, 1.429450, 1.446987, 0.507082, 0.525370
128, 1.428882, 1.352633, 0.507037, 0.564393
129, 1.433095, 1.341689, 0.502103, 0.569009
130, 1.412239, 1.346651, 0.510061, 0.562550
131, 1.439606, 1.321492, 0.499452, 0.571827
132, 1.425547, 1.319540, 0.501459, 0.566236
133, 1.416205, 1.278058, 0.508488, 0.580473
134, 1.430078, 1.236339, 0.509168, 0.609271
135, 1.433252, 1.326149, 0.503879, 0.566429
136, 1.417980, 1.311357, 0.501837, 0.569611
137, 1.412441, 1.322371, 0.511977, 0.574166
138, 1.399808, 1.297300, 0.512687, 0.580991
139, 1.409373, 1.232143, 0.511901, 0.608039
140, 1.404216, 1.286321, 0.518307, 0.577086
141, 1.422294, 1.349478, 0.502394, 0.557695
142, 1.417214, 1.380246, 0.506007, 0.566414
143, 1.430058, 1.343994, 0.498472, 0.567861
144, 1.412929, 1.290001, 0.508744, 0.581054
145, 1.420708, 1.234297, 0.504971, 0.603355
146, 1.403778, 1.272966, 0.513770, 0.590959
147, 1.410204, 1.363441, 0.513286, 0.573402
148, 1.408447, 1.303470, 0.517219, 0.572754
149, 1.415471, 1.323160, 0.511148, 0.565536
150, 1.411985, 1.352908, 0.509870, 0.553343
151, 1.410194, 1.317358, 0.515767, 0.578142
152, 1.394849, 1.272782, 0.524357, 0.583012
153, 1.396178, 1.309436, 0.521364, 0.565754
154, 1.389505, 1.285783, 0.512786, 0.586953
155, 1.402864, 1.264150, 0.511628, 0.576989
156, 1.395357, 1.272300, 0.511066, 0.574156
157, 1.393713, 1.266767, 0.515927, 0.593760
158, 1.397969, 1.334438, 0.524276, 0.563497
159, 1.399094, 1.348906, 0.508590, 0.567062
160, 1.398593, 1.256927, 0.508517, 0.590550
161, 1.412288, 1.237759, 0.505589, 0.592361
162, 1.411960, 1.312136, 0.508344, 0.586879
163, 1.398050, 1.289150, 0.512867, 0.578906
164, 1.412214, 1.330281, 0.502504, 0.548412
165, 1.396711, 1.318452, 0.518528, 0.559361
166, 1.392601, 1.310601, 0.510074, 0.566180
167, 1.420862, 1.420567, 0.505553, 0.538454
168, 1.409951, 1.299584, 0.505145, 0.569359
169, 1.391220, 1.304152, 0.511500, 0.571777
170, 1.384529, 1.388538, 0.520565, 0.554026
171, 1.393733, 1.257039, 0.517480, 0.592640
172, 1.380197, 1.245926, 0.521463, 0.586742
173, 1.388172, 1.234563, 0.518930, 0.594885
174, 1.412849, 1.267835, 0.504528, 0.592333
175, 1.393996, 1.211322, 0.513477, 0.605650
176, 1.419649, 1.277236, 0.502577, 0.585282
177, 1.390439, 1.311797, 0.515276, 0.569786
178, 1.388465, 1.280677, 0.512504, 0.574443
179, 1.393884, 1.255321, 0.519370, 0.586414
180, 1.384052, 1.271813, 0.516579, 0.580122
181, 1.371490, 1.347660, 0.518570, 0.551756
182, 1.404028, 1.296728, 0.510209, 0.575532
183, 1.378972, 1.299749, 0.520889, 0.567201
184, 1.386534, 1.358113, 0.517589, 0.550801
185, 1.407454, 1.345845, 0.508963, 0.573534
186, 1.382437, 1.305432, 0.516012, 0.561991
187, 1.384757, 1.259686, 0.519702, 0.580059
188, 1.385133, 1.361992, 0.513418, 0.550002
189, 1.393823, 1.262832, 0.510479, 0.577680
190, 1.378953, 1.228475, 0.524137, 0.592269
191, 1.373681, 1.221538, 0.524636, 0.598048
192, 1.382679, 1.358292, 0.512260, 0.563471
193, 1.382046, 1.270826, 0.513371, 0.580437
194, 1.390395, 1.241838, 0.509101, 0.583332
195, 1.367994, 1.293241, 0.527532, 0.576349
196, 1.375406, 1.338245, 0.526189, 0.554704
197, 1.381469, 1.309574, 0.518303, 0.559688
198, 1.383296, 1.235828, 0.516195, 0.587333
199, 1.384271, 1.308434, 0.516684, 0.569329
200, 1.371827, 1.248597, 0.514243, 0.592985
201, 1.373345, 1.310629, 0.519346, 0.571619
202, 1.372542, 1.188939, 0.527125, 0.613785
203, 1.371476, 1.193471, 0.523008, 0.615804
204, 1.388332, 1.220999, 0.515097, 0.605853
205, 1.368531, 1.221755, 0.524290, 0.591706
206, 1.361608, 1.233983, 0.519619, 0.596357
207, 1.371417, 1.283284, 0.531293, 0.581598
208, 1.373761, 1.254905, 0.519937, 0.592955
209, 1.367534, 1.205844, 0.518497, 0.617495
210, 1.367925, 1.189895, 0.524903, 0.614466
211, 1.366488, 1.230546, 0.524683, 0.589164
212, 1.377858, 1.242657, 0.517749, 0.591061
213, 1.364741, 1.235316, 0.524718, 0.590690
214, 1.369535, 1.205874, 0.524615, 0.608230
215, 1.349601, 1.180822, 0.533877, 0.620946
216, 1.344984, 1.210403, 0.534057, 0.603583
217, 1.367355, 1.196942, 0.527695, 0.605135
218, 1.370119, 1.179650, 0.521186, 0.619351
219, 1.357347, 1.192048, 0.528639, 0.615573
220, 1.360166, 1.203806, 0.527339, 0.606547
221, 1.366688, 1.213540, 0.521687, 0.605706
222, 1.368210, 1.178335, 0.521405, 0.615878
223, 1.347911, 1.219398, 0.531426, 0.593623
224, 1.360071, 1.201649, 0.527142, 0.606770
225, 1.356194, 1.320392, 0.529582, 0.565241
226, 1.365857, 1.220709, 0.528716, 0.603616
227, 1.366419, 1.167626, 0.519879, 0.624127
228, 1.366030, 1.169767, 0.524537, 0.622845
229, 1.371789, 1.190750, 0.526221, 0.607237
230, 1.359411, 1.203957, 0.528161, 0.609781
231, 1.363584, 1.172622, 0.527181, 0.620712
232, 1.352869, 1.183071, 0.524171, 0.611241
233, 1.358991, 1.202157, 0.530488, 0.611094
234, 1.369943, 1.265273, 0.516713, 0.595189
235, 1.358868, 1.189433, 0.529706, 0.615314
236, 1.349546, 1.199419, 0.526808, 0.600658
237, 1.364309, 1.254084, 0.524062, 0.593874
238, 1.350180, 1.195153, 0.527702, 0.607103
239, 1.353720, 1.200470, 0.520143, 0.601740
240, 1.349096, 1.247449, 0.531510, 0.587839
241, 1.359314, 1.238395, 0.524933, 0.602832
242, 1.353563, 1.187868, 0.523330, 0.615644
243, 1.335648, 1.207349, 0.534004, 0.612333
244, 1.349466, 1.267972, 0.525364, 0.580348
245, 1.352582, 1.264966, 0.530199, 0.576156
246, 1.356385, 1.276101, 0.530682, 0.572533
247, 1.342824, 1.300077, 0.532002, 0.568100
248, 1.360614, 1.292067, 0.525062, 0.579335
249, 1.357285, 1.199658, 0.525849, 0.607956
250, 1.361440, 1.162972, 0.527183, 0.621362
251, 1.372212, 1.165503, 0.522598, 0.621951
252, 1.361517, 1.217425, 0.521030, 0.607753
253, 1.356123, 1.324742, 0.525584, 0.555151
254, 1.346997, 1.275648, 0.524692, 0.589601
255, 1.361028, 1.190644, 0.522575, 0.608588
256, 1.349745, 1.209972, 0.525028, 0.593712
257, 1.330702, 1.235894, 0.541621, 0.596098
258, 1.349718, 1.195122, 0.527436, 0.614778
259, 1.339334, 1.160164, 0.530679, 0.622334
260, 1.347749, 1.190135, 0.531576, 0.611300
261, 1.324125, 1.177299, 0.538775, 0.613615
262, 1.360070, 1.222994, 0.521354, 0.599963
263, 1.353039, 1.191925, 0.527758, 0.598942
264, 1.346677, 1.205956, 0.523909, 0.599564
265, 1.346598, 1.216606, 0.523641, 0.599744
266, 1.342187, 1.236231, 0.530211, 0.597502
267, 1.341668, 1.195197, 0.532080, 0.607110
268, 1.351568, 1.197816, 0.528114, 0.599716
269, 1.351477, 1.165419, 0.525898, 0.624013
270, 1.355665, 1.155031, 0.524665, 0.622743
271, 1.352944, 1.160856, 0.523488, 0.621375
272, 1.352373, 1.174423, 0.525620, 0.614423
273, 1.334034, 1.268369, 0.535736, 0.588976
274, 1.335772, 1.194938, 0.536410, 0.609098
275, 1.328909, 1.208737, 0.534764, 0.603682
276, 1.334558, 1.216709, 0.533855, 0.592498
277, 1.332573, 1.197228, 0.528611, 0.604205
278, 1.331167, 1.207557, 0.534354, 0.603225
279, 1.340818, 1.171231, 0.531353, 0.621593
280, 1.343557, 1.201821, 0.527425, 0.602799
281, 1.347201, 1.213139, 0.528571, 0.600323
282, 1.328393, 1.260867, 0.535718, 0.592054
283, 1.316753, 1.188576, 0.542456, 0.616045
284, 1.339848, 1.178858, 0.532296, 0.607483
285, 1.334474, 1.164505, 0.533560, 0.623711
286, 1.339019, 1.184617, 0.529524, 0.617315
287, 1.338689, 1.175854, 0.535318, 0.618516
288, 1.321203, 1.179625, 0.537319, 0.619849
289, 1.335572, 1.176537, 0.534297, 0.619559
290, 1.333512, 1.200167, 0.529389, 0.595946
291, 1.321573, 1.172352, 0.533481, 0.621019
292, 1.317661, 1.203508, 0.541836, 0.609497
293, 1.343369, 1.222390, 0.525497, 0.602824
294, 1.335233, 1.182760, 0.539779, 0.614900
295, 1.342531, 1.152533, 0.530956, 0.623843
296, 1.323558, 1.171782, 0.541468, 0.620037
297, 1.328688, 1.172052, 0.534625, 0.617533
298, 1.333287, 1.305175, 0.534289, 0.566630
299, 1.338659, 1.288826, 0.533719, 0.568872
300, 1.342091, 1.243578, 0.533390, 0.584876
301, 1.324637, 1.204252, 0.535007, 0.612686
302, 1.314508, 1.170636, 0.542402, 0.617736
303, 1.323220, 1.173765, 0.536490, 0.621773
304, 1.317088, 1.153782, 0.542866, 0.624432
305, 1.316925, 1.154263, 0.537640, 0.626971
306, 1.314416, 1.162346, 0.545357, 0.631676
307, 1.331484, 1.161737, 0.540805, 0.625028
308, 1.332188, 1.171796, 0.533737, 0.616477
309, 1.337592, 1.204480, 0.529052, 0.609781
310, 1.342124, 1.221148, 0.524600, 0.593529
311, 1.347950, 1.288296, 0.534304, 0.575958
312, 1.319912, 1.269337, 0.536094, 0.583611
313, 1.315345, 1.198253, 0.538221, 0.611721
314, 1.317879, 1.264584, 0.536639, 0.572437
315, 1.337728, 1.215763, 0.530544, 0.603990
316, 1.314849, 1.221871, 0.544047, 0.603929
317, 1.317255, 1.189101, 0.547555, 0.614999
318, 1.320086, 1.186064, 0.537072, 0.598576
319, 1.330572, 1.177758, 0.538466, 0.617975
320, 1.326145, 1.251250, 0.531830, 0.585696
321, 1.325207, 1.201042, 0.534436, 0.591543
322, 1.324712, 1.204276, 0.539595, 0.612564
323, 1.327900, 1.154753, 0.534563, 0.623685
324, 1.322698, 1.157348, 0.535618, 0.624818
325, 1.339969, 1.148452, 0.540508, 0.626069
326, 1.333008, 1.157243, 0.532703, 0.626910
327, 1.330283, 1.160217, 0.536738, 0.626915
328, 1.325989, 1.162891, 0.539733, 0.620080
329, 1.323260, 1.180559, 0.540636, 0.616954
330, 1.322409, 1.243553, 0.540456, 0.600270
331, 1.322203, 1.212733, 0.535243, 0.598856
332, 1.340052, 1.128791, 0.534316, 0.634517
333, 1.328470, 1.149881, 0.533258, 0.627768
334, 1.317164, 1.166156, 0.542177, 0.619475
335, 1.332075, 1.133314, 0.536375, 0.632361
336, 1.335524, 1.180144, 0.533531, 0.610454
337, 1.318699, 1.167549, 0.543158, 0.619958
338, 1.307906, 1.185136, 0.541076, 0.618389
339, 1.320763, 1.214157, 0.540143, 0.601547
340, 1.329886, 1.223694, 0.534867, 0.596278
341, 1.312611, 1.223855, 0.542632, 0.579973
342, 1.322072, 1.241605, 0.543103, 0.590363
343, 1.293696, 1.178682, 0.551888, 0.609103
344, 1.322486, 1.215528, 0.540606, 0.605087
345, 1.322478, 1.153839, 0.537876, 0.624305
346, 1.325083, 1.148149, 0.536515, 0.624272
347, 1.346885, 1.227514, 0.527944, 0.595471
348, 1.321801, 1.241398, 0.528455, 0.586237
349, 1.309869, 1.290946, 0.547030, 0.561719
350, 1.316558, 1.207530, 0.538879, 0.608413
351, 1.321880, 1.138506, 0.535019, 0.626011
352, 1.338532, 1.146666, 0.532100, 0.617657
353, 1.331121, 1.161197, 0.529393, 0.624251
354, 1.300197, 1.176112, 0.541619, 0.612595
355, 1.319952, 1.205983, 0.538081, 0.600278
356, 1.307981, 1.227450, 0.544798, 0.590540
357, 1.303685, 1.248815, 0.542833, 0.584134
358, 1.301978, 1.161243, 0.538194, 0.617391
359, 1.305694, 1.162703, 0.541156, 0.615961
360, 1.309580, 1.162931, 0.541065, 0.620527
361, 1.313623, 1.177709, 0.538324, 0.608801
362, 1.316862, 1.221508, 0.544484, 0.595169
363, 1.303373, 1.250921, 0.544142, 0.578843
364, 1.303565, 1.228076, 0.546196, 0.581811
365, 1.321198, 1.191069, 0.535875, 0.611713
366, 1.305790, 1.153588, 0.547833, 0.620468
367, 1.314399, 1.166261, 0.536482, 0.623723
368, 1.303530, 1.139157, 0.548121, 0.622055
369, 1.304966, 1.161895, 0.541311, 0.627369
370, 1.317434, 1.187993, 0.536660, 0.609192
371, 1.293734, 1.167045, 0.550405, 0.613214
372, 1.288823, 1.170295, 0.548060, 0.620712
373, 1.311222, 1.143621, 0.545748, 0.631272
374, 1.300488, 1.156445, 0.553458, 0.620603
375, 1.300022, 1.140851, 0.548444, 0.627369
376, 1.309323, 1.122244, 0.537328, 0.631439
377, 1.312650, 1.179367, 0.539208, 0.613006
378, 1.317181, 1.173216, 0.543400, 0.614545
379, 1.323539, 1.227674, 0.536648, 0.591784
380, 1.318258, 1.237290, 0.541975, 0.597274
381, 1.308314, 1.187943, 0.541140, 0.608705
382, 1.297303, 1.145674, 0.538099, 0.616528
383, 1.296148, 1.188257, 0.551032, 0.612150
384, 1.316106, 1.140611, 0.532469, 0.633054
385, 1.309833, 1.141226, 0.545137, 0.625186
386, 1.295153, 1.173870, 0.546665, 0.623543
387, 1.296264, 1.163294, 0.545955, 0.622842
388, 1.304466, 1.173633, 0.546236, 0.614913
389, 1.304145, 1.157101, 0.542102, 0.626625
390, 1.298326, 1.148703, 0.547079, 0.624612
391, 1.336862, 1.287541, 0.532075, 0.581773
392, 1.320962, 1.283623, 0.538319, 0.582288
393, 1.318858, 1.139689, 0.541802, 0.632117
394, 1.311039, 1.129323, 0.545723, 0.631874
395, 1.322424, 1.172331, 0.531677, 0.616550
396, 1.342976, 1.160834, 0.539565, 0.621504
397, 1.305964, 1.154128, 0.544237, 0.619521
398, 1.392482, 1.143495, 0.544069, 0.628360
399, 1.292461, 1.159525, 0.546374, 0.616835
400, 1.294989, 1.273299, 0.545469, 0.575788
401, 1.315274, 1.234499, 0.537413, 0.585607
402, 1.307456, 1.217273, 0.546334, 0.599061
403, 1.289222, 1.166645, 0.552516, 0.607169
404, 1.314208, 1.133314, 0.540921, 0.632092
405, 1.308494, 1.163957, 0.540835, 0.622863
406, 1.302462, 1.136076, 0.540411, 0.627445
407, 1.297037, 1.182204, 0.548871, 0.606315
408, 1.284770, 1.220122, 0.553214, 0.601743
409, 1.278574, 1.155871, 0.550199, 0.618714
410, 1.287363, 1.121547, 0.548232, 0.631980
411, 1.290799, 1.141563, 0.549972, 0.622616
412, 1.278044, 1.931827, 0.553938, 0.613628
413, 1.294676, 1.170794, 0.547382, 0.621337
414, 1.286834, 1.127756, 0.547090, 0.628570
415, 1.307460, 1.153080, 0.542885, 0.626082
416, 1.295377, 1.164102, 0.548602, 0.618673
417, 1.285117, 1.182569, 0.552247, 0.612330
418, 1.292545, 1.134456, 0.543516, 0.626186
419, 1.284390, 1.157873, 0.553200, 0.622411
420, 1.289182, 1.159540, 0.555345, 0.621981
421, 1.289245, 1.151232, 0.546944, 0.626834
422, 1.288196, 1.168913, 0.550129, 0.616015
423, 1.285624, 1.168923, 0.553673, 0.608905
424, 1.281227, 1.189995, 0.545298, 0.602669
425, 1.284586, 1.151769, 0.551193, 0.621738
426, 1.272339, 1.163182, 0.555212, 0.621260
427, 1.282796, 1.160781, 0.554786, 0.615357
428, 1.276017, 1.139188, 0.555407, 0.628677
429, 1.295460, 1.159718, 0.548311, 0.616947
430, 1.298564, 1.171259, 0.546733, 0.625780
431, 1.295395, 1.205028, 0.545679, 0.595842
432, 1.292293, 1.215456, 0.545551, 0.587026
433, 1.277705, 1.243609, 0.551941, 0.586927
434, 1.285015, 1.214643, 0.555954, 0.593805
435, 1.279609, 1.137108, 0.554773, 0.617853
436, 1.255479, 1.215364, 0.565584, 0.590746
437, 1.309867, 1.372389, 0.534583, 0.550707
438, 1.320716, 1.270252, 0.535350, 0.584817
439, 1.286983, 1.148674, 0.544820, 0.621631
440, 1.299598, 1.122280, 0.542464, 0.638021
441, 1.292280, 1.108170, 0.554497, 0.632579
442, 1.288495, 1.203826, 0.550250, 0.591744
443, 1.310008, 1.238694, 0.542393, 0.595682
444, 1.290639, 1.169215, 0.545344, 0.604599
445, 1.289343, 1.116810, 0.549745, 0.638803
446, 1.273889, 1.162630, 0.556478, 0.623228
447, 1.285972, 1.135147, 0.549985, 0.628146
448, 1.283439, 1.158477, 0.553747, 0.616581
449, 1.275126, 1.178346, 0.555089, 0.616223
450, 1.275393, 1.187289, 0.557623, 0.605191
451, 1.283907, 1.173022, 0.553747, 0.608634
452, 1.280553, 1.198852, 0.557272, 0.598840
453, 1.303418, 1.256904, 0.549819, 0.576078
454, 1.285344, 1.222332, 0.551105, 0.595349
455, 1.272501, 1.191217, 0.552854, 0.608144
456, 1.285644, 1.216800, 0.553206, 0.594712
457, 1.293535, 1.130929, 0.543737, 0.633824
458, 1.276273, 1.128127, 0.557281, 0.628570
459, 1.284898, 1.152660, 0.549824, 0.621545
460, 1.285414, 1.167849, 0.547783, 0.615187
461, 1.289681, 1.156704, 0.548813, 0.615979
462, 1.266501, 1.136664, 0.559719, 0.627021
463, 1.270791, 1.173396, 0.565126, 0.615299
464, 1.282152, 1.176295, 0.552108, 0.610672
465, 1.303646, 1.228246, 0.540532, 0.600483
466, 1.289257, 1.151828, 0.552404, 0.620580
467, 1.278028, 1.113280, 0.557843, 0.632191
468, 1.276118, 1.134058, 0.549948, 0.630497
469, 1.273794, 1.125014, 0.551914, 0.628129
470, 1.267429, 1.133762, 0.562175, 0.627316
471, 1.284663, 1.166246, 0.552595, 0.622842
472, 1.280639, 1.136112, 0.552229, 0.622888
473, 1.291648, 1.146280, 0.555644, 0.627588
474, 1.273446, 1.105126, 0.553183, 0.640024
475, 1.273723, 1.130473, 0.551755, 0.636238
476, 1.281075, 1.164694, 0.555857, 0.608588
477, 1.281360, 1.234516, 0.561558, 0.593095
478, 1.288114, 1.235453, 0.546727, 0.579523
479, 1.283010, 1.230507, 0.545837, 0.585256
480, 1.271485, 1.146052, 0.554790, 0.623205
481, 1.272011, 1.193043, 0.557043, 0.599262
482, 1.285104, 1.148010, 0.549478, 0.626618
483, 1.251837, 1.131803, 0.561243, 0.625706
484, 1.272391, 1.167318, 0.557044, 0.606595
485, 1.265440, 1.162385, 0.562035, 0.616180
486, 1.271148, 1.124303, 0.554161, 0.627341
487, 1.270031, 1.187867, 0.556542, 0.611178
488, 1.253874, 1.173911, 0.565822, 0.605089
489, 1.261962, 1.128945, 0.562481, 0.628413
490, 1.277133, 1.166394, 0.554662, 0.618955
491, 1.272350, 1.118205, 0.558071, 0.632585
492, 1.284634, 1.106542, 0.555062, 0.639265
493, 1.273413, 1.149998, 0.553197, 0.624452
494, 1.267400, 1.148435, 0.561308, 0.624401
495, 1.272869, 1.132372, 0.561143, 0.618767
496, 1.276403, 1.116933, 0.556860, 0.638658
497, 1.280123, 1.158589, 0.550681, 0.624320
498, 1.252221, 1.129995, 0.558423, 0.630221
499, 1.271251, 1.188924, 0.556023, 0.611114
500, 1.261879, 1.152375, 0.563722, 0.619587
501, 1.262304, 1.210999, 0.555705, 0.597972
502, 1.278580, 1.139503, 0.554968, 0.626493
503, 1.274867, 1.223642, 0.558815, 0.589591
504, 1.267503, 1.204997, 0.552656, 0.604990
505, 1.266218, 1.171133, 0.558492, 0.611081
506, 1.253717, 1.135000, 0.569856, 0.628685
507, 1.273911, 1.120269, 0.551548, 0.636469
508, 1.259130, 1.109890, 0.566224, 0.635863
509, 1.250721, 1.099005, 0.569609, 0.644701
510, 1.274787, 1.136943, 0.562849, 0.624213
511, 1.254844, 1.244614, 0.569486, 0.583329
512, 1.280504, 1.219008, 0.553716, 0.591490
513, 1.278996, 1.221324, 0.554143, 0.605160
514, 1.262332, 1.142049, 0.558762, 0.614646
515, 1.258165, 1.161684, 0.565793, 0.622154
516, 1.258246, 1.148823, 0.561292, 0.621918
517, 1.273536, 1.094117, 0.560676, 0.636416
518, 1.284919, 1.098409, 0.551679, 0.641372
519, 1.256507, 1.178872, 0.564374, 0.608659
520, 1.284501, 1.151827, 0.551128, 0.625803
521, 1.262642, 1.113197, 0.567163, 0.632270
522, 1.265973, 1.131015, 0.555274, 0.632414
523, 1.246368, 1.156231, 0.570691, 0.611599
524, 1.266896, 1.098654, 0.558177, 0.643901
525, 1.262447, 1.113321, 0.560242, 0.640529
526, 1.265157, 1.189404, 0.561479, 0.599480
527, 1.266008, 1.176792, 0.556083, 0.609141
528, 1.269119, 1.201376, 0.557924, 0.599638
529, 1.272060, 1.136118, 0.563066, 0.629093
530, 1.270673, 1.127647, 0.560488, 0.637551
531, 1.265793, 1.094247, 0.558401, 0.638798
532, 1.261242, 1.111264, 0.559358, 0.640611
